(1,91,-0.7207874146311153)
(1,92,0.10160191983423361)
(1,93,-0.3773625928970173)
(1,94,0.0)
(1,95,0.4074090998401387)
(1,96,-0.1522131760916632)
(1,97,-0.5751429378757366)
(1,98,0.7342172431423764)
(1,99,-0.2710287880787945)
(1,100,0.1640753932575486)
(2,1,0.429714894918589)
(2,2,1.0)
(2,3,0.18793991035680033)
(2,4,0.33781448014933657)
(2,5,-0.2907808286157845)
(2,6,-0.15802970468091318)
(2,7,0.19191746757247116)
(2,8,-0.06318846458051866)
(2,9,0.35471188114992874)
(2,10,-0.01998366680672331)
(2,11,0.3627783434603614)
(2,12,0.6681717452765276)
(2,13,0.3623047321022076)
(2,14,0.828374466341203)
(2,15,0.40938547324743685)
(2,16,0.0)
(2,17,0.13119299002422938)
(2,18,0.4058941101446516)
(2,19,0.257955968603477)
(2,20,0.7120649720827268)
(2,21,0.0)
(2,22,0.3089992989442977)
(2,23,0.012201100127210724)
(2,24,-0.03415153596357892)
(2,25,0.22623512606847399)
(2,26,0.04589039800239101)
(2,27,-0.017175928991538903)
(2,28,-0.11222528824704782)
(2,29,0.26182701113439344)
(2,30,0.4662876039557174)
(2,31,0.2690399746257072)
(2,32,-0.18450666621838993)
(2,33,0.2811028883264978)
(2,34,0.25886201007669457)
(2,35,0.11620414948036792)
(2,36,0.24445726587716252)
(2,37,0.4661866277989524)
(2,38,0.10912114464202356)
(2,39,0.8798765306197549)
(2,40,0.3128846288495666)
(2,41,0.08962851514147026)
(2,42,0.24330902356799902)
(2,43,0.810900413243728)
(2,44,0.28242867809747774)
(2,45,1.518840384553156E-4)
(2,46,0.0)
(2,47,-0.35830788016981413)
(2,48,0.2009743887056292)
(2,49,0.4105134309598109)
(2,50,-0.3242071880910506)
(2,51,0.5313854728961773)
(2,52,0.14343477692538065)
(2,53,0.24610471753227217)
(2,54,0.8958605456910937)
(2,55,0.8393855644292989)
(2,56,-0.3815260685452116)
(2,57,0.09583179822082118)
(2,58,0.15859744484154778)
(2,59,0.22562131885156286)
(2,60,0.1389251950681077)
(2,61,0.0)
(2,62,-0.055888947680133014)
(2,63,0.3983494749364672)
(2,64,0.8006063629170037)
(2,65,0.27711514634635914)
(2,66,0.8196744415484828)
(2,67,-0.07898748560203979)
(2,68,0.17486156452812415)
(2,69,-0.30759090769917735)
(2,70,0.8851989483255921)
(2,71,0.8481627249349876)
(2,72,0.09277746174175684)
(2,73,0.25743923656705964)
(2,74,0.16319538527739252)
(2,75,-0.28222292787972536)
(2,76,0.3884592443327042)
(2,77,0.5686657010085486)
(2,78,-0.05358780643763032)
(2,79,0.6999021705639007)
(2,80,0.33410881211606314)
(2,81,-0.004924646868772385)
(2,82,0.5705607957303459)
(2,83,0.27421691447943153)
(2,84,0.4917792320010876)
(2,85,0.22873231243161732)
(2,86,0.31337331199853674)
(2,87,0.7006444426847467)
(2,88,0.384263805177291)
(2,89,0.9875994553034958)
(2,90,0.3844764050501521)
(2,91,-0.019093811807645324)
(2,92,0.07935824270019326)
(2,93,0.22650733671120332)
(2,94,0.0)
(2,95,0.3654542113354489)
(2,96,0.1032768335742234)
(2,97,0.4776542500852723)
(2,98,0.5207808908293573)
(2,99,0.047802900753598554)
(2,100,0.1700844029001285)
(3,1,-0.30129417567339706)
(3,2,0.18793991035680033)
(3,3,1.0)
(3,4,0.565628625482536)
(3,5,-0.4206491055092782)
(3,6,-0.6342001673430744)
(3,7,0.7380185421311457)
(3,8,-0.5550837894544433)
(3,9,-0.19306529465900527)
(3,10,0.012957753491779684)
(3,11,-0.16845272988243196)
(3,12,0.42876150439837624)
(3,13,0.33406350840377985)
(3,14,-0.7729951242511172)
(3,15,0.4357057055641573)
(3,16,0.0)
(3,17,-0.33952510809481)
(3,18,0.48902956103376044)
(3,19,-0.13041881340347566)
(3,20,0.0)
(3,21,0.13945640882483962)
(3,22,-0.06156632984986111)
(3,23,-0.7048756770294828)
(3,24,0.36548008017438116)
(3,25,0.34750527161450806)
(3,26,-0.017308675661217052)
(3,27,0.6504933807837706)
(3,28,0.41941898459916954)
(3,29,0.6439111717894556)
(3,30,-0.6882560561316831)
(3,31,-0.0014821126982227804)
(3,32,-0.7450721044097636)
(3,33,0.1876667152451417)
(3,34,0.1740854562799485)
(3,35,0.7207375864983043)
(3,36,0.20716021478445343)
(3,37,0.5545408341102459)
(3,38,0.9654774328682291)
(3,39,-0.219966822183745)
(3,40,0.39861262402497855)
(3,41,0.6784748806199657)
(3,42,-0.1630370633559079)
(3,43,-0.7239669054833343)
(3,44,0.22925255508934472)
(3,45,-0.3430877461898506)
(3,46,0.0)
(3,47,0.0)
(3,48,0.12565696563430026)
(3,49,0.6022502080417379)
(3,50,0.5850143987745676)
(3,51,-0.23678915226756142)
(3,52,0.8185247316009812)
(3,53,0.06042264391568092)
(3,54,0.3626625784994135)
(3,55,0.0)
(3,56,0.2231427561024738)
(3,57,0.6883064837860429)
(3,58,-0.08104669598303545)
(3,59,0.20670627046618642)
(3,60,0.46134724342934286)
(3,61,0.0)
(3,62,0.026031033465259427)
(3,63,0.0)
(3,64,0.6663736288873315)
(3,65,-0.1517715159658846)
(3,66,0.602602666335622)
(3,67,-0.962508271591001)
(3,68,0.2902578286479529)
(3,69,-0.4169534612977227)
(3,70,-0.40679669813863234)
(3,71,0.6315545196103552)
(3,72,0.2360595252319619)
(3,73,-0.06541638947668671)
(3,74,-0.631352279021426)
(3,75,-0.63816939201916)
